10000	2332
10000	2852
10001	2903
10002	1353
10002	2699
10004	3676
10005	3079
10007	1084
10007	3095
10008	1986
10008	2693
10009	1586
10009	3638
10009	3926
10011	2720
10012	3152
10013	3052
10016	1829
10016	2444
10024	1765
10024	2491
10026	2113
10026	3001
10027	3118
10028	2470
10030	2189
10031	1717
10031	3076
10032	2190
10032	2649
10032	3077
10034	3805
10036	2777
10036	3949
10038	1841
10039	1544
10039	3346
10043	1146
10044	1074
10045	1312
10045	2016
10046	3177
10048	3794
10050	1942
10052	1266
10054	1388
10054	2247
10054	2259
10055	3275
10058	1480
10060	2797
10062	1388
10062	1485
10062	1694
10064	1615
10065	2580
10066	2385
10067	3653
10067	3929
10068	2770
10070	1194
10070	1542
10073	1099
10073	3483
10074	3545
10078	1390
10078	2461
10078	2669
10078	3565
10079	2642
10080	1724
10081	3369
10081	3788
10085	1286
10086	1109
10086	2788
10089	2174
10089	3347
10090	2391
10091	2341
10092	3902
10092	3954
10096	1098
10096	3610
10097	2673
10097	3024
10099	2608
10101	3767
10104	1172
10104	1317
10105	1291
10105	2519
10107	1662
10107	2268
10110	2609
10112	2594
10113	1007
10115	2323
10115	3007
10116	2066
10116	2148
10116	2496
10117	1793
10117	2663
10118	1962
10118	3381
10120	3641
10122	1222
10123	1977
10125	1488
10126	2650
10128	1334
10130	3394
10132	3998
10134	3662
10135	3034
10136	1340
10136	3510
10137	2228
10141	2657
10143	2478
10144	1092
10144	1666
10145	2861
10146	2932
10150	1426
10151	1402
10153	2270
10162	3554
10163	1104
10165	2776
10167	1681
10169	3982
10171	2245
10171	2595
10173	1824
10173	2064
10175	2748
10177	3157
10177	3707
10177	3879
10178	3091
10182	3066
10184	3358
10188	1052
10188	1338
10189	2136
10189	3562
10190	3824
10192	2182
10193	1601
10193	1661
10193	1817
10193	2379
10193	3045
10194	3163
10195	3196
10196	1973
10196	2113
10196	3489
10197	3184
10201	2326
10203	2565
10204	2421
10205	1477
10205	3270
10210	2912
10212	1723
10212	3552
10213	2789
10215	2504
10216	1395
10216	1712
10217	1039
10219	2925
10220	2309
10221	2998
10223	1406
10224	2958
10226	2799
10227	1746
10230	1232
10231	3307
10231	3826
10233	3546
10233	3550
10234	3308
10238	3018
10240	1830
10241	3801
10242	3002
10243	3642
10248	2201
10249	2296
10250	3979
10250	3982
10251	1636
10252	1846
10252	2674
10253	3117
10254	1282
10254	3180
10255	3680
10257	2040
10259	3047
10259	3555
10261	3420
10262	1675
10262	3257
10262	3918
10263	1389
10263	2386
10265	2032
10266	1047
10268	1713
10269	1651
10270	3615
10272	1352
10272	1953
10273	1407
10275	1643
10275	2371
10275	2729
10276	2106
10277	2454
10281	3053
10281	3642
10284	1927
10284	2553
10284	3785
10285	1841
10286	1250
10286	3181
10287	2320
10288	2038
10290	1124
10291	2630
10292	1318
10292	1896
10292	2667
10292	3981
10293	1103
10295	2684
10295	3084
10296	1205
10296	2410
10297	2621
10297	3119
10298	3170
10299	1502
10300	1633
10301	2482
10302	3946
10303	1574
10309	1193
10311	2430
10312	2908
10315	2894
10318	1870
10318	1987
10319	1586
10321	3770
10322	1873
10322	2042
10323	2931
10324	1250
10324	1375
10326	1674
10326	1872
10326	2994
10327	2123
10327	2217
10328	1231
10329	3730
10330	3423
10331	2147
10333	3089
10334	3066
10335	3662
10336	1801
10336	3201
10338	1372
10338	1553
10338	3666
10339	3999
10342	2102
10347	2967
10350	1743
10350	2708
10351	3478
10352	2290
10352	2975
10354	3401
10356	1577
10356	1672
10356	1820
10356	2716
10358	1467
10358	2852
10360	3793
10364	3405
10365	2885
10365	3830
10367	1953
10368	1585
10369	1619
10369	3025
10369	3476
10370	2765
10370	3067
10372	3471
10372	3604
10373	1020
10374	2602
10374	3699
10375	2490
10375	3737
10377	3105
10378	2721
10379	2262
10379	2345
10380	2852
10382	1881
10383	1589
10383	2538
10387	3024
10388	1164
10391	3637
10391	3871
10392	3121
10393	1708
10394	3978
10396	2353
10396	2454
10400	1389
10400	3180
10400	3651
10401	1939
10403	1745
10407	3106
10407	3723
10409	1540
10414	1094
10414	1995
10416	3513
10418	1617
10418	2190
10419	1655
10419	3265
10420	1067
10422	1987
10422	3674
10423	1416
10423	3798
10424	1293
10427	3542
10428	1019
10429	2078
10429	3813
10431	2154
10433	1011
10435	1218
10435	1493
10437	1948
10438	1346
10438	3198
10440	3563
10440	3611
10441	1855
10443	3035
10444	3158
10444	3982
10445	2038
10447	2621
10451	3592
10452	1901
10453	1003
10453	1465
10454	2450
10455	3677
10456	3609
10457	2462
10459	2760
10464	1388
10465	2339
10465	3309
10467	1124
10469	1454
10469	2307
10469	2505
10471	1163
10472	1689
10472	2103
10473	1983
10474	3405
10475	1470
10475	1519
10475	2065
